id,dc_code,start_day,end_day,hl_day,discriminator_type
127,2,2017-07-17,2017-07-23,2017-07-12,hlexpectedday
128,2,2017-07-24,2017-07-30,2017-07-19,hlexpectedday
129,2,2017-07-31,2017-08-06,2017-07-26,hlexpectedday
130,2,2017-08-07,2017-08-13,2017-08-02,hlexpectedday
131,2,2017-08-14,2017-08-20,2017-08-09,hlexpectedday
132,2,2017-08-21,2017-08-27,2017-08-16,hlexpectedday
133,2,2017-08-28,2017-09-03,2017-08-23,hlexpectedday
134,2,2017-09-04,2017-09-10,2017-08-30,hlexpectedday
135,2,2017-09-11,2017-09-17,2017-09-06,hlexpectedday
136,2,2017-09-18,2017-09-24,2017-09-13,hlexpectedday
137,2,2017-09-25,2017-10-01,2017-09-20,hlexpectedday
138,2,2017-10-02,2017-10-08,2017-09-27,hlexpectedday
139,2,2017-10-09,2017-10-15,2017-10-04,hlexpectedday
140,2,2017-10-16,2017-10-22,2017-10-11,hlexpectedday
141,2,2017-10-23,2017-10-29,2017-10-18,hlexpectedday
142,2,2017-10-30,2017-11-05,2017-10-25,hlexpectedday
143,2,2017-11-06,2017-11-12,2017-11-01,hlexpectedday
144,2,2017-11-13,2017-11-19,2017-11-08,hlexpectedday
145,2,2017-11-20,2017-11-26,2017-11-15,hlexpectedday
146,2,2017-11-27,2017-12-03,2017-11-22,hlexpectedday
147,2,2017-12-04,2017-12-10,2017-11-29,hlexpectedday
148,2,2017-12-11,2017-12-17,2017-12-06,hlexpectedday
149,2,2017-12-18,2017-12-24,2017-12-13,hlexpectedday
150,2,2017-12-25,2017-12-31,2017-12-20,hlexpectedday
151,2,2018-01-01,2018-01-07,2017-12-27,hlexpectedday
152,2,2018-01-08,2018-01-14,2018-01-03,hlexpectedday
153,2,2018-01-15,2018-01-21,2018-01-10,hlexpectedday
154,2,2018-01-22,2018-01-28,2018-01-17,hlexpectedday
155,2,2018-01-29,2018-02-04,2018-01-24,hlexpectedday
156,2,2018-02-05,2018-02-11,2018-01-31,hlexpectedday
157,2,2018-02-12,2018-02-18,2018-02-07,hlexpectedday
158,2,2018-02-19,2018-02-25,2018-02-14,hlexpectedday
159,2,2018-02-26,2018-03-04,2018-02-21,hlexpectedday
160,2,2018-03-05,2018-03-11,2018-02-28,hlexpectedday
161,2,2018-03-12,2018-03-18,2018-03-07,hlexpectedday
162,2,2018-03-19,2018-03-25,2018-03-14,hlexpectedday
163,2,2018-03-26,2018-04-01,2018-03-21,hlexpectedday
164,2,2018-04-02,2018-04-08,2018-03-28,hlexpectedday
165,3,2016-09-12,2016-09-18,2016-09-07,hlexpectedday
166,3,2016-09-19,2016-09-25,2016-09-14,hlexpectedday
167,3,2016-09-26,2016-10-02,2016-09-21,hlexpectedday
168,3,2016-10-03,2016-10-09,2016-09-28,hlexpectedday
169,3,2016-10-10,2016-10-16,2016-10-05,hlexpectedday
170,3,2016-10-17,2016-10-23,2016-10-12,hlexpectedday
171,3,2016-10-24,2016-10-30,2016-10-19,hlexpectedday
172,3,2016-10-31,2016-11-06,2016-10-26,hlexpectedday
173,3,2016-11-07,2016-11-13,2016-11-02,hlexpectedday
174,3,2016-11-14,2016-11-20,2016-11-09,hlexpectedday
175,3,2016-11-21,2016-11-27,2016-11-16,hlexpectedday
176,3,2016-11-28,2016-12-04,2016-11-23,hlexpectedday
177,3,2016-12-05,2016-12-11,2016-11-30,hlexpectedday
178,3,2016-12-12,2016-12-18,2016-12-07,hlexpectedday
179,3,2016-12-19,2016-12-25,2016-12-14,hlexpectedday
180,3,2016-12-26,2017-01-01,2016-12-21,hlexpectedday
181,3,2017-01-02,2017-01-08,2016-12-28,hlexpectedday
182,3,2017-01-09,2017-01-15,2017-01-04,hlexpectedday
183,3,2017-01-16,2017-01-22,2017-01-11,hlexpectedday
184,3,2017-01-23,2017-01-29,2017-01-18,hlexpectedday
185,3,2017-01-30,2017-02-05,2017-01-25,hlexpectedday
186,3,2017-02-06,2017-02-12,2017-02-01,hlexpectedday
187,3,2017-02-13,2017-02-19,2017-02-08,hlexpectedday
188,3,2017-02-20,2017-02-26,2017-02-15,hlexpectedday
189,3,2017-02-27,2017-03-05,2017-02-22,hlexpectedday
190,3,2017-03-06,2017-03-12,2017-03-01,hlexpectedday
191,3,2017-03-13,2017-03-19,2017-03-08,hlexpectedday
192,3,2017-03-20,2017-03-26,2017-03-15,hlexpectedday
193,3,2017-03-27,2017-04-02,2017-03-22,hlexpectedday
194,3,2017-04-03,2017-04-09,2017-03-29,hlexpectedday
195,3,2017-04-10,2017-04-16,2017-04-05,hlexpectedday
196,3,2017-04-17,2017-04-23,2017-04-12,hlexpectedday
197,3,2017-04-24,2017-04-30,2017-04-19,hlexpectedday
