id,brand_id,item_option_id,output_category_id,order_item_name,order_category_name,order_frontage_size,order_lr,order_with,order_other,output_category,output_part_number1,output_part_number2,output_addition1,output_addition2,output_ek_no,output_base_wheel,output_height,output_width,output_finish,output_grain_direction,output_quantity,output_line,output_color,output_wood_color,output_append_option,output_press_manufacturer_name,output_totte_product,output_selected_color,temporary_id,color_classification,output_grant_line,output_selection_color,line,line_color,end_color,discriminator_type
47,2,MPD6040OPS,,ハンガーパイプ付棚板・縦：MPD60-40-OPS,棚板,,,,,,MPD60-40-OPS,,,,,,0,0,,,1,,,#,,,,,,,,,,,,factory
48,2,MPD6045OPS,,ハンガーパイプ付棚板・縦：MPD60-45-OPS,棚板,,,,,,MPD60-45-OPS,,,,,,0,0,,,1,,,#,,,,,,,,,,,,factory
49,2,MPD7030OPS,,ハンガーパイプ付棚板・縦：MPD70-30-OPS,棚板,,,,,,MPD70-30-OPS,,,,,,0,0,,,1,,,#,,,,,,,,,,,,factory
50,2,MPD7040OPS,,ハンガーパイプ付棚板・縦：MPD70-40-OPS,棚板,,,,,,MPD70-40-OPS,,,,,,0,0,,,1,,,#,,,,,,,,,,,,factory
51,2,MPD7045OPS,,ハンガーパイプ付棚板・縦：MPD70-45-OPS,棚板,,,,,,MPD70-45-OPS,,,,,,0,0,,,1,,,#,,,,,,,,,,,,factory
52,2,MPD8030OPS,,ハンガーパイプ付棚板・縦：MPD80-30-OPS,棚板,,,,,,MPD80-30-OPS,,,,,,0,0,,,1,,,#,,,,,,,,,,,,factory
53,2,MPD8040OPS,,ハンガーパイプ付棚板・縦：MPD80-40-OPS,棚板,,,,,,MPD80-40-OPS,,,,,,0,0,,,1,,,#,,,,,,,,,,,,factory
54,2,MPD8045OPS,,ハンガーパイプ付棚板・縦：MPD80-45-OPS,棚板,,,,,,MPD80-45-OPS,,,,,,0,0,,,1,,,#,,,,,,,,,,,,factory
55,2,MHP30OPS,,ハンガーパイプ：MHP30-OPS,ハンガーパイプ,,,,,,MHP30-OPS,,,,,,0,0,,,1,,,,,,,,,,,,,,,factory
56,2,MHP35OPS,,ハンガーパイプ：MHP35-OPS,ハンガーパイプ,,,,,,MHP35-OPS,,,,,,0,0,,,1,,,,,,,,,,,,,,,factory
57,2,MHP40OPS,,ハンガーパイプ：MHP40-OPS,ハンガーパイプ,,,,,,MHP40-OPS,,,,,,0,0,,,1,,,,,,,,,,,,,,,factory
58,2,MHP50OPS,,ハンガーパイプ：MHP50-OPS,ハンガーパイプ,,,,,,MHP50-OPS,,,,,,0,0,,,1,,,,,,,,,,,,,,,factory
59,2,MHP60OPS,,ハンガーパイプ：MHP60-OPS,ハンガーパイプ,,,,,,MHP60-OPS,,,,,,0,0,,,1,,,,,,,,,,,,,,,factory
60,2,MHP70OPS,,ハンガーパイプ：MHP70-OPS,ハンガーパイプ,,,,,,MHP70-OPS,,,,,,0,0,,,1,,,,,,,,,,,,,,,factory
61,2,MHP80OPS,,ハンガーパイプ：MHP80-OPS,ハンガーパイプ,,,,,,MHP80-OPS,,,,,,0,0,,,1,,,,,,,,,,,,,,,factory
62,2,MCA4060OPS,,据置引き出し[2011～2020仕様]：MCA40-60-OPS,引き出し,,,,,,MCA40-60-OPS,,,,,,0,0,,,1,,,,,,,,,,,,,,,factory
63,2,MCA5060OPS,,据置引き出し[2011～2020仕様]：MCA50-60-OPS,引き出し,,,,,,MCA50-60-OPS,,,,,,0,0,,,1,,,,,,,,,,,,,,,factory
64,2,MCA6060OPS,,据置引き出し[2011～2020仕様]：MCA60-60-OPS,引き出し,,,,,,MCA60-60-OPS,,,,,,0,0,,,1,,,,,,,,,,,,,,,factory
65,2,MCA7060OPS,,据置引き出し[2011～2020仕様]：MCA70-60-OPS,引き出し,,,,,,MCA70-60-OPS,,,,,,0,0,,,1,,,,,,,,,,,,,,,factory
66,2,MCA8060OPS,,据置引き出し[2011～2020仕様]：MCA80-60-OPS,引き出し,,,,,,MCA80-60-OPS,,,,,,0,0,,,1,,,,,,,,,,,,,,,factory
