id,zip_code,post_code,delivery_type,sunday,monday,tuesday,wednesday,thursday,friday,saturday,discriminator_type
129,4400844,0666,1,1,1,0,1,1,1,1,hldeliverylist
130,4400844,0666,1,1,1,0,1,1,1,1,hldeliverylist
131,4400844,0666,1,1,1,0,1,1,1,1,hldeliverylist
132,4400844,0666,1,1,1,0,1,1,1,1,hldeliverylist
133,4400845,0666,1,1,1,0,1,1,1,1,hldeliverylist
134,4400845,0666,1,1,1,0,1,1,1,1,hldeliverylist
135,4400851,0666,1,1,1,0,1,1,1,1,hldeliverylist
136,4400853,0666,1,1,1,0,1,1,1,1,hldeliverylist
137,4400853,0666,1,1,1,0,1,1,1,1,hldeliverylist
138,4400854,0666,1,1,1,0,1,1,1,1,hldeliverylist
139,4400855,0666,1,1,1,0,1,1,1,1,hldeliverylist
140,4400856,0666,1,1,1,0,1,1,1,1,hldeliverylist
141,4400857,0666,1,1,1,0,1,1,1,1,hldeliverylist
142,4400858,0666,1,1,1,0,1,1,1,1,hldeliverylist
143,4400861,0666,1,1,1,0,1,1,1,1,hldeliverylist
144,4400862,0666,1,1,1,0,1,1,1,1,hldeliverylist
145,4400863,0666,1,1,1,0,1,1,1,1,hldeliverylist
146,4400864,0666,1,1,1,0,1,1,1,1,hldeliverylist
147,4400865,0666,1,1,1,0,1,1,1,1,hldeliverylist
148,4400871,0666,1,1,1,0,1,1,1,1,hldeliverylist
149,4400872,0666,1,1,1,0,1,1,1,1,hldeliverylist
150,4400873,0666,1,1,1,0,1,1,1,1,hldeliverylist
151,4400874,0666,1,1,1,0,1,1,1,1,hldeliverylist
152,4400875,0666,1,1,1,0,1,1,1,1,hldeliverylist
153,4400876,0666,1,1,1,0,1,1,1,1,hldeliverylist
154,4400877,0666,1,1,1,0,1,1,1,1,hldeliverylist
155,4400881,0666,1,1,1,0,1,1,1,1,hldeliverylist
156,4400882,0666,1,1,1,0,1,1,1,1,hldeliverylist
157,4400883,0666,1,1,1,0,1,1,1,1,hldeliverylist
158,4400884,0666,1,1,1,0,1,1,1,1,hldeliverylist
159,4400885,0666,1,1,1,0,1,1,1,1,hldeliverylist
160,4400886,0666,1,1,1,0,1,1,1,1,hldeliverylist
161,4400887,0666,1,1,1,0,1,1,1,1,hldeliverylist
162,4400888,0666,1,1,1,0,1,1,1,1,hldeliverylist
163,4400891,0666,1,1,1,0,1,1,1,1,hldeliverylist
164,4400892,0666,1,1,1,0,1,1,1,1,hldeliverylist
165,4400893,0666,1,1,1,0,1,1,1,1,hldeliverylist
166,4400894,0666,1,1,1,0,1,1,1,1,hldeliverylist
167,4400895,0666,1,1,1,0,1,1,1,1,hldeliverylist
168,4400896,0666,1,1,1,0,1,1,1,1,hldeliverylist
169,4400897,0666,1,1,1,0,1,1,1,1,hldeliverylist
170,4410000,0666,1,1,1,0,1,1,1,1,hldeliverylist
171,4410101,0666,1,1,1,0,1,1,1,1,hldeliverylist
172,4410102,0666,1,1,1,0,1,1,1,1,hldeliverylist
173,4410103,0666,1,1,1,0,1,1,1,1,hldeliverylist
174,4410104,0666,1,1,1,0,1,1,1,1,hldeliverylist
175,4410105,0666,1,1,1,0,1,1,1,1,hldeliverylist
176,4410106,0666,1,1,1,0,1,1,1,1,hldeliverylist
177,4410151,0666,1,1,1,0,1,1,1,1,hldeliverylist
178,4410152,0666,1,1,1,0,1,1,1,1,hldeliverylist
179,4410153,0666,1,1,1,0,1,1,1,1,hldeliverylist
180,4410154,0666,1,1,1,0,1,1,1,1,hldeliverylist
181,4410155,0666,1,1,1,0,1,1,1,1,hldeliverylist
182,4410156,0666,1,1,1,0,1,1,1,1,hldeliverylist
183,4410201,0666,1,1,1,0,1,1,1,1,hldeliverylist
184,4410202,0666,1,1,1,0,1,1,1,1,hldeliverylist
185,4410203,0666,1,1,1,0,1,1,1,1,hldeliverylist
186,4410204,0666,1,1,1,0,1,1,1,1,hldeliverylist
187,4410211,0666,1,1,1,0,1,1,1,1,hldeliverylist
188,4410212,0666,1,1,1,0,1,1,1,1,hldeliverylist
189,4410213,0666,1,1,1,0,1,1,1,1,hldeliverylist
190,4410214,0666,1,1,1,0,1,1,1,1,hldeliverylist
191,4410215,0666,1,1,1,0,1,1,1,1,hldeliverylist
192,4410301,0666,1,1,1,0,1,1,1,1,hldeliverylist
193,4410301,0666,1,1,1,0,1,1,1,1,hldeliverylist
194,4410301,0666,1,1,1,0,1,1,1,1,hldeliverylist
195,4410301,0666,1,1,1,0,1,1,1,1,hldeliverylist
196,4410301,0666,1,1,1,0,1,1,1,1,hldeliverylist
197,4410301,0666,1,1,1,0,1,1,1,1,hldeliverylist
198,4410301,0666,1,1,1,0,1,1,1,1,hldeliverylist
199,4410301,0666,1,1,1,0,1,1,1,1,hldeliverylist
200,4410301,0666,1,1,1,0,1,1,1,1,hldeliverylist
201,4410301,0666,1,1,1,0,1,1,1,1,hldeliverylist
202,4410301,0666,1,1,1,0,1,1,1,1,hldeliverylist
203,4410301,0666,1,1,1,0,1,1,1,1,hldeliverylist
204,4410301,0666,1,1,1,0,1,1,1,1,hldeliverylist
205,4410301,0666,1,1,1,0,1,1,1,1,hldeliverylist
206,4410301,0666,1,1,1,0,1,1,1,1,hldeliverylist
207,4410301,0666,1,1,1,0,1,1,1,1,hldeliverylist
208,4410301,0666,1,1,1,0,1,1,1,1,hldeliverylist
209,4410301,0666,1,1,1,0,1,1,1,1,hldeliverylist
210,4410301,0666,1,1,1,0,1,1,1,1,hldeliverylist
211,4410301,0666,1,1,1,0,1,1,1,1,hldeliverylist
212,4410302,0666,1,1,1,0,1,1,1,1,hldeliverylist
213,4410302,0666,1,1,1,0,1,1,1,1,hldeliverylist
214,4410302,0666,1,1,1,0,1,1,1,1,hldeliverylist
